Potential,Current,Potential_vs_Fc
-0.711,-8.149e-06,-1.3399999999999999
-0.712,-8.15e-06,-1.341
-0.713,-8.145e-06,-1.342
-0.714,-8.148e-06,-1.343
-0.715,-8.143e-06,-1.3439999999999999
-0.716,-8.145e-06,-1.345
-0.717,-8.143e-06,-1.346
-0.718,-8.144e-06,-1.347
-0.719,-8.141e-06,-1.3479999999999999
-0.72,-8.141e-06,-1.349
-0.721,-8.14e-06,-1.35
-0.722,-8.14e-06,-1.351
-0.723,-8.137e-06,-1.3519999999999999
-0.724,-8.141e-06,-1.353
-0.725,-8.137e-06,-1.354
-0.726,-8.139e-06,-1.355
-0.727,-8.136e-06,-1.3559999999999999
-0.728,-8.139e-06,-1.357
-0.729,-8.136e-06,-1.358
-0.73,-8.139e-06,-1.359
-0.731,-8.137e-06,-1.3599999999999999
-0.732,-8.139e-06,-1.361
-0.733,-8.136e-06,-1.362
-0.734,-8.139e-06,-1.363
-0.735,-8.136e-06,-1.3639999999999999
-0.736,-8.14e-06,-1.365
